Game,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
.hack//Infection Part 1,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27
.hack//Mutation Part 2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68
.hack//Outbreak Part 3,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
007 Racing,2000,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53
007: Quantum of Solace,2008,Action,Activision,1.5499999999999998,1.31,0.04,0.4,3.3
007: The World is not Enough,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92
1 vs. 100,2008,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08
100 Classic Books,2008,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66
15 Days,2009,Adventure,DTP Entertainment,0.0,0.01,0.0,0.0,0.01
1701 A.D.,2006,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3
18 Wheeler: American Pro Trucker,2001,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4
18 Wheeler: American Pro Trucker,2002,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11
187: Ride or Die,2005,Racing,Ubisoft,0.12000000000000001,0.06999999999999999,0.0,0.02,0.21
2002 FIFA World Cup,2002,Sports,Electronic Arts,0.39,0.22,0.16,0.06999999999999999,0.83
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,0.94,1.43,0.13,0.47,2.96
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,0.3,0.61,0.01,0.12,1.03
24: The Game,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3
25 to Life,2006,Shooter,Eidos Interactive,0.47,0.05,0.0,0.06999999999999999,0.59
300: March to Glory,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41
3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57
4x4 EVO 2,2001,Racing,Gathering of Developers,0.18,0.05,0.0,0.01,0.24
50 Cent: Blood on the Sand,2009,Shooter,THQ,0.22,0.13,0.01,0.05,0.4
50 Cent: Bulletproof,2005,Action,Vivendi Games,1.18,0.86,0.0,0.18,2.21
7 Days to Die,2016,Action,Telltale Games,0.07,0.1,0.0,0.02,0.19
7 Wonders of the Ancient World,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13
7th Dragon III Code: VFD,2015,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17
A Boy and His Blob,2009,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01,0.21
A Game of Thrones: Genesis,2011,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01,0.03
A Vampyre Story,2008,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02
A Witch's Tale,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11
AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,0.42,0.01,0.0,0.04,0.47
AMF Bowling 2004,2003,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3
AMF Xtreme Bowling,2006,Sports,Mastertronic,0.01,0.01,0.0,0.0,0.02
APB Reloaded,2011,Role-Playing,Iceberg Interactive,0.02,0.01,0.0,0.0,0.04
ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41
ATV Offroad Fury 2,2002,Racing,THQ,1.92,0.2,0.0,0.06,2.18
ATV Offroad Fury 3,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2
ATV Offroad Fury: Blazin' Trails,2005,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57
